"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse"
6,19,53,40,524,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,42,774,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,45,372,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,29,616,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,30,770,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,53,35,387,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,36,541,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,40,4,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,43,467,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,46,641,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,47,738,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,48,373,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,49,354,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,50,47,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,53,50,451,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,51,143,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,51,316,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,51,489,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,51,547,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,52,124,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,52,701,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,53,54,317,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,57,30,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,57,722,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,57,896,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,53,58,69,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,58,415,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,19,53,58,473,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,19,54,1,532,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,54,1,647,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,54,1,686,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,49,296,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,53,59,973,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,54,4,187,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,54,5,687,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,54,7,72,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,7,188,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,8,284,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,19,54,8,804,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,8,861,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,11,516,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,12,613,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,14,402,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,16,133,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,17,692,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,17,9232,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,18,730,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,18,788,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,19,77,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,19,596,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,19,654,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,20,231,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,20,289,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,4,360,,,,,,,,,,,,,,,,,,,,,,,,,3,
6,19,54,5,514,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,54,10,420,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,54,15,43,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,54,16,191,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,19,54,20,808,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,20,866,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,21,328,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,54,21,386,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,21,732,,,,1,,,,,,,,,,,,1,,,,,,,,,,
6,19,54,22,45,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,54,22,136,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,22,309,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,23,348,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,23,636,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,23,752,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,23,810,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,23,869,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,24,214,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,24,502,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,54,24,733,,,,,1,,,,,,,,,,,,,,,,,,,,,
6,19,54,24,906,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,25,22,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,25,137,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,25,195,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,25,599,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,26,118,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,54,26,176,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,26,349,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,26,407,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,26,984,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,54,27,330,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,19,54,27,388,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,27,561,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,27,965,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,28,138,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,28,196,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,28,427,,,,,1,,,,,,,,,,,,,,,,,,,,,
6,19,54,28,658,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,28,831,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,29,62,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,29,120,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,29,177,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,29,466,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,29,639,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,29,754,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,29,812,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,29,870,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,30,43,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,30,274,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,30,332,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,30,562,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,30,736,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,19,54,30,909,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,31,24,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,31,255,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,31,601,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,31,775,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,31,890,,,,,,1,,,,,,,,,,,,,,,,,,,,
6,19,54,31,948,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,54,32,5,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,32,121,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,32,236,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,33,275,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,33,506,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,54,33,910,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,34,372,,,,2,,,,,,,,,,,,,,,,,,,,,,
6,19,54,34,949,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,35,584,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,35,757,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,35,815,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,36,46,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,36,161,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,36,450,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,36,623,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,37,200,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,37,431,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,22,886,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,54,33,275,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,54,34,430,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,54,37,893,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,54,38,238,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,38,296,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,38,354,1,,,,,1,,,,,,,,,,,,,,,,,,,,
6,19,54,38,469,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,38,815,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,39,104,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,39,219,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,39,508,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,39,681,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,40,27,,,,1,,,,,,,,,,,,,,,,,,,,,,
6,19,54,40,85,,,,1,,,,,,,,,,,,,,,,,,,,,,
