Downcast,Hour,minute,second,s/1000,Count,App_in_hse
5,19,42,28,611,0,0
5,19,42,30,920,0,0
5,19,42,32,305,0,0
5,19,42,36,633,0,0
5,19,42,38,884,0,0
5,19,42,43,559,0,0
5,19,42,47,137,0,0
5,19,42,47,714,0,0
5,19,42,48,468,0,0
5,19,42,54,121,0,0
5,19,43,1,566,0,0
5,19,43,3,586,0,0
5,19,43,7,280,0,0
5,19,43,8,261,0,0
5,19,43,17,495,0,0
5,19,43,27,306,0,0
5,19,43,39,715,0,0
5,19,43,43,5,0,0
5,19,43,44,794,0,0
5,19,43,46,121,0,0
5,19,43,49,180,0,0
5,19,43,38,965,0,1
6,19,51,45,95,0,0
6,19,51,45,211,0,0
6,19,51,45,268,0,0
6,19,51,45,326,0,0
6,19,51,45,730,0,0
6,19,51,47,635,0,0
6,19,51,47,692,0,0
6,19,51,47,923,0,0
6,19,51,49,366,0,0
6,19,51,49,943,0,0
6,19,51,50,1,0,0
6,19,51,50,232,0,0
6,19,51,50,289,0,0
6,19,51,50,924,0,0
6,19,51,51,328,0,0
6,19,51,51,905,0,0
6,19,51,52,194,0,0
6,19,51,52,598,0,0
6,19,51,52,944,0,0
6,19,51,53,290,0,0
6,19,51,53,810,0,0
6,19,51,54,445,0,0
6,19,51,54,618,0,0
6,19,51,54,733,0,0
6,19,51,54,906,0,0
6,19,51,56,3,0,0
6,19,51,57,300,0,0
6,19,51,57,446,0,0
6,19,51,59,754,0,0
6,19,52,0,216,0,0
6,19,51,45,384,0,3
6,19,51,46,538,0,1
6,19,51,47,692,0,3
6,19,51,48,847,0,2
6,19,51,50,1,0,2
6,19,51,51,155,0,1
6,19,51,52,309,0,1
6,19,51,53,464,0,1
6,19,51,54,618,0,1
6,19,51,55,772,0,2
6,19,51,58,81,0,1
6,19,51,59,235,0,2
6,19,52,1,544,0,3
6,19,52,2,179,0,0
6,19,52,2,987,0,0
6,19,52,3,968,0,0
6,19,52,9,47,0,0
6,19,52,11,124,0,0
6,19,52,12,452,0,0
6,19,52,13,202,0,0
6,19,52,14,183,0,0
6,19,52,14,645,0,0
6,19,52,15,337,0,0
6,19,52,16,896,0,0
6,19,52,17,300,0,0
6,19,52,18,454,0,0
6,19,52,18,569,0,0
6,19,52,2,756,0,1
6,19,52,3,910,0,1
6,19,52,6,161,0,2
6,19,52,7,315,0,3
6,19,52,8,412,0,3
6,19,52,9,566,0,2
6,19,52,10,720,0,2
6,19,52,11,874,0,2
6,19,52,13,29,0,2
6,19,52,14,183,0,4
6,19,52,15,337,0,1
6,19,52,16,492,0,5
6,19,52,17,646,0,1
