dateTime,bx,by,width,height,angle,length,group
10-17-10024756785,24,97,28,20,35.538,34.409,Fritillaridae
10-16-10230702916,31,68,59,3,-2.911,59.076,Fritillaridae
10-16-10202608214,24,23,49,21,-23.199,53.31,Fritillaridae
10-15-10234413699,55,54,66,23,19.213,69.893,Fritillaridae
10-15-10234358174,40,114,64,17,-14.876,66.219,Fritillaridae
10-15-10225110221,26,105,60,16,14.931,62.097,Fritillaridae
10-15-10225105085,58,76,50,7,7.97,50.488,Fritillaridae
10-15-10225104738,87,117,64,8,7.125,64.498,Fritillaridae
10-15-10225053484,64,90,54,2,-2.121,54.037,Fritillaridae
10-15-10225053426,109,186,76,6,4.514,76.236,Fritillaridae
10-15-10225052676,219,102,64,44,-34.509,77.666,Fritillaridae
10-15-10221939665,80,125,68,2,-1.685,68.029,Fritillaridae
10-15-10211538414,39,24,53,28,-27.848,59.942,Fritillaridae
10-15-10221932681,30,64,16,16,45,22.627,Fritillaridae
10-15-10211350545,51,63,76,4,-3.013,76.105,Fritillaridae
10-15-10204137511,37,64,65,30,-24.775,71.589,Fritillaridae
10-15-10001820144,68,92,57,25,23.682,62.241,Fritillaridae
10-15-10001403428,113,153,67,1,-0.855,67.007,Fritillaridae
10-15-10001355233,144,80,24,42,-60.255,48.374,Fritillaridae
