"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL"
5,19,36,26,971,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,27,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,27,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,27,375,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,
5,19,36,27,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,27,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,27,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,27,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
5,19,36,27,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,28,126,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,28,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,28,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,28,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,28,414,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,28,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,28,530,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
5,19,36,28,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,28,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,28,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,28,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,28,934,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,28,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,29,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,29,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,29,222,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,29,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
5,19,36,29,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,29,626,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,29,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,29,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,29,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,30,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,30,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,30,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
5,19,36,30,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,31,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,31,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
5,19,36,31,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,31,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,31,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,31,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,31,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,32,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,32,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,32,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
