downcast,hour,min,sec,s/1000,Type1,Type2,Type3,Type4,Type5,Type1_wotail,Type2_wotail,Type3_wotail
9,20,45,8,78,1,0,0,0,0,0,0,0
9,20,45,11,830,0,0,1,0,0,0,0,0
9,20,45,50,960,0,0,1,0,0,0,0,0
9,20,46,6,81,0,0,1,0,0,0,0,0
9,20,46,12,776,0,1,0,0,0,0,0,0
9,20,46,30,379,0,0,1,0,0,0,0,0
9,20,46,37,189,0,1,0,0,0,0,0,0
9,20,46,52,195,0,0,1,0,0,0,0,0
9,20,46,54,965,1,0,0,0,0,0,0,0
9,20,46,56,4,0,0,1,0,0,0,0,0
9,20,46,56,466,1,0,0,0,0,0,0,0
9,20,57,3,104,1,0,0,0,0,0,0,0
10,20,56,42,846,0,1,0,0,0,0,0,0
10,20,56,45,212,0,1,0,0,0,0,0,0
10,20,56,52,947,0,1,0,0,0,0,0,0
10,20,56,53,120,0,1,0,0,0,0,0,0
10,20,56,53,177,0,1,0,0,0,0,0,0
10,20,56,55,82,0,1,0,0,0,0,0,0
10,20,56,55,717,0,1,0,0,0,0,0,0
10,20,56,55,890,0,1,0,0,0,0,0,0
10,20,56,56,871,0,1,0,0,0,0,0,0
10,20,57,4,893,0,1,0,0,0,0,0,0
10,20,57,5,124,0,1,0,0,0,0,0,0
10,20,57,10,203,0,1,0,0,0,0,0,0
10,20,57,11,761,0,1,0,0,0,0,0,0
10,20,57,12,569,0,1,0,0,0,0,0,0
10,20,57,13,31,0,1,0,0,0,0,0,0
10,20,57,13,320,0,1,0,0,0,0,0,0
10,20,57,13,955,0,1,0,0,0,0,0,0
10,20,57,14,70,0,1,0,0,0,0,0,0
10,20,57,14,705,0,1,0,0,0,0,0,0
10,20,57,15,282,0,1,0,0,0,0,0,0
10,20,57,16,436,0,1,0,0,0,0,0,0
10,20,57,16,956,0,2,0,0,0,0,0,0
10,20,57,17,764,0,1,0,0,0,0,0,0
10,20,57,19,34,0,1,0,0,0,0,0,0
10,20,57,19,553,0,1,0,0,0,0,0,0
10,20,57,20,130,0,1,0,0,0,0,0,0
10,20,57,20,650,0,1,0,0,0,0,0,0
10,20,57,20,996,0,1,0,0,0,0,0,0
10,20,57,22,843,0,1,0,0,0,0,0,0
10,20,57,23,362,0,1,0,0,0,0,0,0
10,20,57,23,882,0,1,0,0,0,0,0,0
10,20,57,23,997,0,1,0,0,0,0,0,0
10,20,57,25,440,0,1,0,0,0,0,0,0
10,20,57,25,960,0,1,0,0,0,0,0,0
10,20,57,26,248,0,1,0,0,0,0,0,0
10,20,57,27,402,0,1,0,0,0,0,0,0
10,20,57,27,806,0,1,0,0,0,0,0,0
10,20,57,28,441,0,1,0,0,0,0,0,0
10,20,57,28,499,0,1,0,0,0,0,0,0
10,20,57,30,403,0,1,0,0,0,0,0,0
10,20,57,30,364,0,1,0,0,0,0,0,0
