transect,downcast,year,month,date,hour,min,sec,s/1000,#,BX,BY,Length,Theta,Phi,Phi360
2,28,2010,10,17,2,03,06,735,2,964,684,165.215,350,6.953,96.953
2,28,2010,10,17,2,03,07,889,1,694,786,344.703,90,40.529,49.471
2,28,2010,10,17,2,03,07,889,2,954,714,152.315,20,156.801,293.199
2,28,2010,10,17,2,03,07,889,3,1808,166,114.978,300,76.931,166.931
2,28,2010,10,17,2,03,10,198,1,1145,1824,203.494,90,115.935,334.065
2,28,2010,10,17,2,03,12,795,1,836,662,193.866,20,158.199,291.801
2,28,2010,10,17,2,03,12,795,2,528,144,141.209,190,15.611,105.611
2,28,2010,10,17,2,03,16,546,1,63,540,219.545,80,83.199,6.801
2,28,2010,10,17,2,03,21,164,1,1036,1358,176.204,90,153.726,296.274
2,28,2010,10,17,2,03,21,164,2,174,1112,274.591,305,20.019,110.019
2,28,2010,10,17,2,03,25,204,1,1180,537,99.02,40,56.952,33.048
2,28,2010,10,17,2,03,41,133,3,1834,264,239.775,40,58.299,31.701
2,28,2010,10,17,2,03,41,133,1,1014,690,227.482,270,147.567,237.567
2,28,2010,10,17,2,03,41,133,2,726,1096,337.236,30,157.694,292.306
2,29,2010,10,17,2,17,17,621,1,1390,0,104.48,160,5.492,84.508
2,29,2010,10,17,2,17,34,531,1,713,101,268.729,270,69.744,159.744
2,29,2010,10,17,2,17,57,848,1,1191,1063,191.935,60,55.646,34.354
2,29,2010,10,17,2,17,59,291,1,1244,1943,154.353,270,101.965,191.965
2,29,2010,10,17,2,17,59,291,2,466,791,322.899,300,116.089,206.089
2,29,2010,10,17,2,18,08,641,1,1137,1210,307.293,30,75.873,14.127
2,29,2010,10,17,2,18,10,603,1,1166,360,333.588,220,51.206,141.206
2,29,2010,10,17,2,18,10,891,1,520,1395,235.682,270,153.544,243.544
2,29,2010,10,17,2,18,17,413,1,901,1,146.912,270,39.207,129.207
2,29,2010,10,17,2,18,17,413,2,1863,1086,134.164,270,169.695,259.695
2,29,2010,10,17,2,18,17,413,2,299,1834,215.795,270,22.64,112.64
